Institution,State,Institution Type,MSI,10yr Earnings Premium,Meets Threshold 1
Citrus College,CA,2-Year,HSI,42065,FALSE
Citrus Heights Beauty College,CA,Less-than-2-year,Non-MSI,NA,NA
City College of San Francisco,CA,2-Year,AANAPII,45805,FALSE
Claremont Graduate University,CA,4-year,Non-MSI,64372,TRUE
Claremont McKenna College,CA,4-year,Non-MSI,104736,TRUE
Milan Institute-Visalia,CA,Less-than-2-year,Non-MSI,32493,FALSE
Clovis Adult Education,CA,Less-than-2-year,Non-MSI,50098,FALSE
Coastline Community College,CA,2-Year,AANAPII,44483,FALSE
University of Silicon Valley,CA,4-year,Non-MSI,51017,FALSE
Coba Academy,CA,Less-than-2-year,Non-MSI,21208,FALSE
Western University of Health Sciences,CA,4-year,Non-MSI,NA,NA
Columbia College,CA,2-Year,Non-MSI,39035,FALSE
California College of ASU,CA,4-year,Non-MSI,42014,FALSE
Compton College,CA,2-Year,HSI,34181,FALSE
Contra Costa College,CA,2-Year,AANAPII,40850,FALSE
Cosumnes River College,CA,2-Year,AANAPII,42446,FALSE
Crafton Hills College,CA,2-Year,HSI,42553,FALSE
Cuesta College,CA,2-Year,HSI,46047,FALSE
Cuyamaca College,CA,2-Year,Non-MSI,32435,FALSE
Cypress College,CA,4-year,AANAPII,43533,FALSE
De Anza College,CA,2-Year,AANAPII,56596,TRUE
International School of Beauty Inc,CA,Less-than-2-year,Non-MSI,19799,FALSE
Dell'Arte International School of Physical Theatre,CA,Less-than-2-year,Non-MSI,35296,FALSE
College of the Desert,CA,2-Year,HSI,39020,FALSE
Design Institute of San Diego,CA,4-year,Non-MSI,46920,FALSE
Dharma Realm Buddhist University,CA,4-year,Non-MSI,NA,NA
Diablo Valley College,CA,2-Year,AANAPII,51378,FALSE
Dominican University of California,CA,4-year,AANAPII,84713,TRUE
Dominican School of Philosophy & Theology,CA,4-year,Non-MSI,NA,NA
East Los Angeles College,CA,2-Year,HSI,42006,FALSE
El Camino Community College District,CA,2-Year,AANAPII,41589,FALSE
Emperor's College of Traditional Oriental Medicine,CA,4-year,Non-MSI,NA,NA
Empire College,CA,4-year,Non-MSI,43090,FALSE
Evergreen Valley College,CA,2-Year,AANAPII,53077,FALSE
FIDM-Fashion Institute of Design & Merchandising,CA,4-year,Non-MSI,49840,FALSE
Feather River Community College District,CA,4-year,Non-MSI,38142,FALSE
Federico Beauty Institute,CA,Less-than-2-year,Non-MSI,29856,FALSE
Fielding Graduate University,CA,4-year,Non-MSI,NA,NA
Five Branches University,CA,4-year,Non-MSI,NA,NA
Redondo Beach Beauty College,CA,Less-than-2-year,Non-MSI,NA,NA
Foothill College,CA,4-year,AANAPII,57072,TRUE
Franciscan School of Theology,CA,4-year,Non-MSI,NA,NA
Fredrick and Charles Beauty College,CA,Less-than-2-year,Non-MSI,21826,FALSE
Fresno City College,CA,2-Year,AANAPII,37361,FALSE
Fresno Pacific University,CA,4-year,HSI,58896,TRUE
Fuller Theological Seminary,CA,4-year,Non-MSI,NA,NA
Fullerton College,CA,2-Year,AANAPII,43366,FALSE
Gavilan College,CA,2-Year,HSI,47169,FALSE
Gemological Institute of America-Carlsbad,CA,Less-than-2-year,Non-MSI,42588,FALSE
Glendale Community College,CA,2-Year,HSI,41540,FALSE
Glendale Career College,CA,4-year,Non-MSI,41472,FALSE
Golden Gate University,CA,4-year,Non-MSI,87434,TRUE
Golden West College,CA,2-Year,AANAPII,43145,FALSE
Graduate Theological Union,CA,4-year,Non-MSI,NA,NA
Grossmont College,CA,2-Year,Non-MSI,40309,FALSE
Salon Success Academy-Riverside,CA,Less-than-2-year,Non-MSI,21777,FALSE
Hartnell College,CA,2-Year,HSI,44316,FALSE
Harvey Mudd College,CA,4-year,Non-MSI,138687,TRUE
Hilltop Beauty School,CA,Less-than-2-year,Non-MSI,25477,FALSE
Holy Names University,CA,4-year,AANAPII,76410,TRUE
Pacifica Graduate Institute,CA,4-year,Non-MSI,NA,NA
California State Polytechnic University-Humboldt,CA,4-year,HSI,47626,FALSE
Humphreys University-Stockton and Modesto Campuses,CA,4-year,HSI,39248,FALSE
Imperial Valley College,CA,2-Year,HSI,34487,FALSE
Institute for Business and Technology,CA,2-Year,Non-MSI,38015,FALSE
Interior Designers Institute,CA,4-year,Non-MSI,54974,FALSE
International School of Cosmetology,CA,Less-than-2-year,Non-MSI,22101,FALSE
Irvine Valley College,CA,2-Year,AANAPII,49156,FALSE
