INSTNM,CITY,STATE,ZIP,ACCREDAGENCY,Modified_PEP_ROI,Original_PEP_ROI,PCTPELL,MSI_TYPE
Paul Mitchell the School-Roanoke,Roanoke,VA,24015,Council on Occupational Education,-0.1960644927097828,-5.100362570392656,0.5973,Non-MSI
Advanced Technology Institute,Virginia Beach,VA,23462,Accrediting Commission of Career Schools and Colleges,0.10712505538325211,9.334884322088664,0.3712,Non-MSI
Averett University,Danville,VA,24541,Southern Association of Colleges and Schools Commission on Colleges,0.13504069022681034,7.405175420241333,0.4174,Non-MSI
Blue Ridge Community College,Weyers Cave,VA,24486-0080,Southern Association of Colleges and Schools Commission on Colleges,0.04293883118245725,23.288943188759927,0.3128,Non-MSI
Bluefield University,Bluefield,VA,24605,Southern Association of Colleges and Schools Commission on Colleges,0.12485132813532443,8.009526329716858,0.4359,Non-MSI
Bridgewater College,Bridgewater,VA,22812-1599,Southern Association of Colleges and Schools Commission on Colleges,0.15792189236386728,6.332244282483036,0.3062,Non-MSI
William & Mary,Williamsburg,VA,23187-8795,Southern Association of Colleges and Schools Commission on Colleges,0.5122543976957104,1.952155031754399,0.1275,Non-MSI
Regent University,Virginia Beach,VA,23464,Southern Association of Colleges and Schools Commission on Colleges,0.15878339140534262,6.297887903447015,0.4986,Non-MSI
Central School of Practical Nursing,Norfolk,VA,23502,Accreditation Commission for Education in Nursing,-1.2964916217833633,-0.771312350344748,0.3438,Non-MSI
Central Virginia Community College,Lynchburg,VA,24502-2498,Southern Association of Colleges and Schools Commission on Colleges,-0.1840617617279784,-5.43295897318359,0.3236,Non-MSI
Christopher Newport University,Newport News,VA,23606-3072,Southern Association of Colleges and Schools Commission on Colleges,0.19170463089919942,5.216358078098864,0.144,Non-MSI
Bryant & Stratton College-Virginia Beach,Virginia Beach,VA,23462,Middle States Commission on Higher Education,-0.14946982055464927,-6.69031377899045,0.644,PBI
Mountain Gateway Community College,Clifton Forge,VA,24422-1000,Southern Association of Colleges and Schools Commission on Colleges,-0.12607621173469388,-7.931710401517546,0.2722,Non-MSI
Danville Community College,Danville,VA,24541-4004,Southern Association of Colleges and Schools Commission on Colleges,-0.204118833385045,-4.8991069732091965,0.3511,Non-MSI
Eastern Virginia Medical School,Norfolk,VA,23507,,,,,Non-MSI
Centura College-Virginia Beach,Virginia Beach,VA,23452-7431,Accrediting Commission of Career Schools and Colleges,-0.08884046778464254,-11.256131636137846,0.6283,Non-MSI
